name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,continent,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,datasetName,recordedBy,identifiedBy,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,verbatimEventDate,collectionCode,gbifID,verbatimLocality,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,http://unknown.org/captive,identificationID,occurrenceRemarks,sex,lifeStage,individualCount,vernacularName,locality,higherClassification,informationWithheld,infraspecificEpithet,identificationRemarks
"Bradypus variegatus Schinz, 1825",-76.443871,-0.530013,"cdc,cdround",gbif,4075983344,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:21:36.388+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-03-24T17:37:10,263,SOUTH_AMERICA,Orellana,2023,3,17,2023-03-17,2023-03-25T11:30:09.000+00:00,2023-08-18T13:21:36.388+00:00,https://www.inaturalist.org/observations/152153596,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Ari Rice,Ari Rice,WGS84,Mammalia,EC,Ecuador,Ari Rice,152153596,wonderbird22,2023/03/17 3:54 PM,Observations,4075983344,"Francisco de Orellana, Ecuador",https://www.inaturalist.org/observations/152153596,47067,152153596,iNaturalist,15:54:00-05:00,wild,343850231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.01147,10.433053,"cdc,cdround",gbif,4080493560,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:22:37.731+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-03-25T03:10:15,1232,NORTH_AMERICA,Heredia,2023,3,24,2023-03-24,2023-04-05T16:46:14.000+00:00,2023-08-18T13:22:37.731+00:00,https://www.inaturalist.org/observations/152187299,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Amanda Bullington,José chaves,WGS84,Mammalia,CR,Costa Rica,Amanda Bullington,152187299,albullington,2023-03-24 15:39:11-06:00,Observations,4080493560,"Sarapiqui, Heredia, CR",https://www.inaturalist.org/observations/152187299,47067,152187299,iNaturalist,15:39:11-06:00,wild,343962209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.005829,10.431326,"cdc,cdround",gbif,4080537548,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:41:56.853+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-03-27T17:55:51,37,NORTH_AMERICA,Heredia,2023,3,23,2023-03-23,2023-04-05T16:46:14.000+00:00,2023-08-18T13:41:56.853+00:00,https://www.inaturalist.org/observations/152187334,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Amanda Bullington,Scott Loarie,WGS84,Mammalia,CR,Costa Rica,Amanda Bullington,152187334,albullington,2023-03-23 15:09:46-06:00,Observations,4080537548,"Sendero Universal, Sarapiqui, Heredia, CR",https://www.inaturalist.org/observations/152187334,47067,152187334,iNaturalist,15:09:46-06:00,wild,344707227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-76.44022,-0.524482,"cdc,cdround",gbif,4075915378,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,EC,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:42:23.578+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-03-25T02:42:28,212,SOUTH_AMERICA,Orellana,2023,3,17,2023-03-17,2023-03-25T11:07:53.000+00:00,2023-08-18T13:42:23.578+00:00,https://www.inaturalist.org/observations/152199916,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,guidogrefa,guidogrefa,WGS84,Mammalia,EC,Ecuador,guidogrefa,152199916,guidogrefa,2023-03-17 16:47:48,Observations,4075915378,Napo Wildlife Center Ecolodge,https://www.inaturalist.org/observations/152199916,47067,152199916,iNaturalist,16:47:48-05:00,wild,343957554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.144557,9.386546,"cdc,cdround",gbif,4075893447,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:21:35.122+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-03-25T04:06:13,497,NORTH_AMERICA,Puntarenas,2023,3,22,2023-03-22,2023-03-25T05:26:58.000+00:00,2023-08-18T13:21:35.122+00:00,https://www.inaturalist.org/observations/152205860,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Owen Sinkus,Owen Sinkus,WGS84,Mammalia,CR,Costa Rica,Owen Sinkus,152205860,owen_sinkus,2023/03/22 12:52 PM,Observations,4075893447,Parque Nacional Manuel Antonio,https://www.inaturalist.org/observations/152205860,47067,152205860,iNaturalist,12:52:00-06:00,wild,343971879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-83.498388,10.533967,"cdc,cdround",gbif,4091371529,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:22:53.025+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-04-02T14:50:54,6,NORTH_AMERICA,Limón,2023,3,24,2023-03-24,2023-04-19T14:49:39.000+00:00,2023-08-18T13:22:53.025+00:00,https://www.inaturalist.org/observations/152272394,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,laurotadelrio,J. Addesi,WGS84,Mammalia,CR,Costa Rica,laurotadelrio,152272394,laurotadelrio,2023-03-24 11:04:35-06:00,Observations,4091371529,"Parque Nacional Tortuguero, Pococí, Limón, CR",https://www.inaturalist.org/observations/152272394,47067,152272394,iNaturalist,11:04:35-06:00,wild,346324101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.142399,9.388476,"cdc,cdround",gbif,4075909513,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:42:07.426+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-03-25T19:00:18,1498,NORTH_AMERICA,Puntarenas,2023,3,12,2023-03-12,2023-04-02T14:50:38.000+00:00,2023-08-18T13:42:07.426+00:00,https://www.inaturalist.org/observations/152276587,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Ted Goshulak,Ted Goshulak,WGS84,Mammalia,CR,Costa Rica,Ted Goshulak,152276587,ted_goshulak,2023/03/12 2:16 PM,Observations,4075909513,"Puntarenas Province, Quepos, Costa Rica",https://www.inaturalist.org/observations/152276587,47067,152276587,iNaturalist,14:16:00-06:00,wild,344128066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-39.136295,-16.423537,"cdc,cdround",gbif,4076342504,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:41:40.357+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-03-25T21:44:07,61,SOUTH_AMERICA,Bahia,2023,3,14,2023-03-14,2023-03-25T23:40:22.000+00:00,2023-08-18T13:41:40.357+00:00,https://www.inaturalist.org/observations/152279214,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Joyce Araújo,Enrico A. R. Tosto,WGS84,Mammalia,BR,Brazil,Joyce Araújo,152279214,joycearaujop,2023/03/14 18:01,Observations,4076342504,"Porto Seguro - BA, 45810-000, Brasil",https://www.inaturalist.org/observations/152279214,47067,152279214,iNaturalist,18:01:00-03:00,wild,344169543,Encontrado no jardim da UFSB-CSC.,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.005911,10.431555,"cdc,cdround",gbif,4080660555,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:41:56.385+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-03-25T22:07:36,46,NORTH_AMERICA,Heredia,2023,3,25,2023-03-25,2023-04-05T16:46:14.000+00:00,2023-08-18T13:41:56.385+00:00,https://www.inaturalist.org/observations/152298775,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Amanda Bullington,Amanda Bullington,WGS84,Mammalia,CR,Costa Rica,Amanda Bullington,152298775,albullington,2023-03-25 15:13:46-06:00,Observations,4080660555,"Sendero Universal, Sarapiqui, Heredia, CR",https://www.inaturalist.org/observations/152298775,47067,152298775,iNaturalist,15:13:46-06:00,wild,344174705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bradypus variegatus Schinz, 1825",-84.005839,10.431636,"cdc,cdround",gbif,4075779531,"Bradypus variegatus Schinz, 1825",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,28eb1a3f-1c15-4a95-931a-4af90ecb574d,US,DWC_ARCHIVE,2023-08-17T14:21:14.888+00:00,2023-08-18T13:41:50.515+00:00,390,HUMAN_OBSERVATION,PRESENT,2436353,1,44,359,1494,9418,2436350,2436353,2436353,"Bradypus variegatus Schinz, 1825",Animalia,Chordata,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus,variegatus,SPECIES,ACCEPTED,LC,2023-03-27T17:53:26,NA,NORTH_AMERICA,Heredia,2023,3,25,2023-03-25,2023-04-02T14:50:26.000+00:00,2023-08-18T13:41:50.515+00:00,https://www.inaturalist.org/observations/152304558,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,iNaturalist research-grade observations,Yaron Budowski,Scott Loarie,WGS84,Mammalia,CR,Costa Rica,Yaron Budowski,152304558,budowski,2023/03/25 2:08 PM,Observations,4075779531,"Heredia Province, Sarapiqui, Costa Rica",https://www.inaturalist.org/observations/152304558,47067,152304558,iNaturalist,14:08:00-06:00,wild,344706550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
