sci.name,date,lat,lon,life.stage,bathy,SST,SSS,common.name
Caretta caretta,2011-11-27,0.26408,45.15342,Juvenile,3446,27.15,35.35,Loggerhead
Chelonia mydas,2018-07-12,24.659,53.013,NA,11,27.91,38.67,Green
Chelonia mydas,2019-07-25,24.642,53.044,NA,2,27.91,38.67,Green
Chelonia mydas,2017-05-12,24.578,53.015,NA,4,27.93,38.65,Green
Chelonia mydas,2017-04-07,24.602,54.271,NA,13,28.11,38.92,Green
Chelonia mydas,2019-08-14,24.649,53.041,NA,2,27.91,38.67,Green
Caretta caretta,2011-11-28,1.33721,53.39364,Juvenile,5117,28.16,35.36,Loggerhead
Caretta caretta,2012-04-18,15.54414,55.48318,Juvenile,3145,26.97,36.09,Loggerhead
Caretta caretta,2011-03-18,16.35775,54.75619,Juvenile,2923,26.76,36.09,Loggerhead
Chelonia mydas,2018-04-17,24.372,53.199,NA,2,28,38.67,Green
Chelonia mydas,2016-08-07,25.657,55.724,NA,2,28.21,38.74,Green
Chelonia mydas,2018-08-08,25.145,60.184,NA,69,27.44,36.69,Green
Chelonia mydas,2017-06-02,26.242,56.438,NA,51,28.03,36.84,Green
Chelonia mydas,2018-04-03,24.628,53.032,NA,3,27.91,38.67,Green
Chelonia mydas,2016-11-20,24.056,53.663,NA,22,27.98,38.76,Green
Caretta caretta,2012-05-06,15.7829,55.29391,Juvenile,3403,26.92,36.09,Loggerhead
Chelonia mydas,2017-04-06,24.566,54.418,NA,5,28.09,38.96,Green
Chelonia mydas,2018-07-25,22.395,59.857,NA,418,26.48,36.59,Green
Caretta caretta,2012-01-14,8.23016,50.14506,Juvenile,2,26.25,35.56,Loggerhead
Chelonia mydas,2016-12-30,13.707,48.116,NA,1297,28.26,36.11,Green
Chelonia mydas,2017-01-14,20.614,58.909,NA,5,26.03,36,Green
Caretta caretta,2011-03-07,14.52832,52.31835,Juvenile,2065,27.13,36.04,Loggerhead
Chelonia mydas,2016-08-24,24.117,52.494,NA,2,27.79,38.08,Green
Caretta caretta,2011-04-18,7.49395,58.59933,Juvenile,3759,28.25,35.78,Loggerhead
Caretta caretta,2011-03-22,1.90589,63.40606,Juvenile,3944,29.28,35.23,Loggerhead
Chelonia mydas,2016-08-17,24.627,53.04,NA,2,27.91,38.67,Green
Caretta caretta,2012-01-08,9.95766,56.88604,Juvenile,3518,27.42,35.92,Loggerhead
Chelonia mydas,2017-01-24,24.662,54.405,NA,12,28.14,38.93,Green
Chelonia mydas,2019-07-26,24.648,53.041,NA,2,27.91,38.67,Green
Chelonia mydas,2016-08-23,24.634,53.043,NA,2,27.91,38.67,Green
Chelonia mydas,2018-05-05,24.645,53.048,NA,2,27.91,38.67,Green
Caretta caretta,2011-12-03,1.72365,54.30442,Juvenile,4929,28.32,35.36,Loggerhead
Chelonia mydas,2017-04-15,24.583,54.433,NA,5,28.09,38.96,Green
Chelonia mydas,2017-04-28,24.64,53.031,NA,3,27.91,38.67,Green
Caretta caretta,2012-04-20,15.06297,55.37173,Juvenile,2310,27.03,36.08,Loggerhead
Chelonia mydas,2018-03-28,24.641,53.038,NA,2,27.91,38.67,Green
Chelonia mydas,2016-05-28,24.629,52.961,NA,10,27.89,38.66,Green
Chelonia mydas,2016-09-04,25.701,55.6,NA,21,28.2,38.73,Green
Chelonia mydas,2018-05-13,25.769,55.873,NA,3,28.13,38.64,Green
Chelonia mydas,2016-07-31,25.416,55.27,NA,21,28.24,38.96,Green
Caretta caretta,2012-01-13,10.80978,55.9056,Juvenile,4196,27.07,35.94,Loggerhead
Caretta caretta,2012-05-02,15.86312,55.64213,Juvenile,2970,26.91,36.1,Loggerhead
Caretta caretta,2011-11-30,1.73137,53.72442,Juvenile,5147,28.2,35.36,Loggerhead
Caretta caretta,2011-03-30,12.89587,51.84446,Juvenile,2244,26.99,35.97,Loggerhead
